"","Row_id","name","screen_size","specifications","model","price","rating","reviews"
"89",89,"HP - ENVY 2-in-1","15.6","Touch-Screen Laptop - AMD Ryzen 7 - 8GB Memory - AMD Radeon RX Vega 10 - 256GB Solid State Drive - HP Finish In Dark Ash","15M-CP0012DX",779.99,4.2,74
"90",90,"Apple - MacBook Pro® -","13","Display - Intel Core i5 - 8 GB Memory - 128GB Flash Storage - Silver","MPXR2LL/A",1249.99,4.8,4162
"91",91,"Acer - Nitro 5","15.6","Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB Hard Drive - Shale Black","AN515-53-52FA",719.99,4.4,242
"92",92,"Lenovo - Yoga 730 2-in-1","15.6","Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Iron Gray","81CU000BUS",829.99,4.6,280
"93",93,"HP - Stream","11.6","Laptop - Intel Celeron - 4GB Memory - 64GB eMMC Flash Memory - Textured Linear Grooves In Snow White","11-AH112DX",229.99,3.4,15
"94",94,"HP -","15.6","Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 1TB Hard Drive - HP Finish In Jet Black","15-BS113DX",455.99,4.5,863
"95",95,"Microsoft - Surface Laptop –","13.5","Touchscreen - Intel Core i5 – 8GB Memory – 256GB Solid State Drive (First Generation) - Cobalt Blue","DAG-00007",999,4.7,662
"96",96,"Alienware -","17.3","Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 256GB Solid State Drive + 1TB Hard Drive - Black","AW17R5-7811BLK-PUS",1899.99,4.6,158
"97",97,"Samsung -","11.6","Chromebook - Intel Celeron - 2GB Memory - 16GB eMMC Flash Memory - Night Charcoal","XE501C13-K01US",229,4.5,72
"98",98,"Apple - MacBook Pro® -","13","Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage - Silver","MPXU2LL/A",1449.99,4.8,3340
"99",99,"Microsoft - Surface Book 2 -","13.5","Touch-Screen PixelSense™ Display - Intel Core i5 / 8GB / 256GB iGPU - Silver","HMW-00001",1499,4.7,370
"100",100,"Dell - Inspiron 2-in-1","13.3","Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 256GB Solid State Drive - Era Gray","I7375-A439GRY-PUS",699.99,4.2,224
"101",101,"Apple - MacBook Pro -","13","Display with Touch Bar - Intel Core i5 - 8GB Memory - 512GB SSD(Latest Model) - Space Gray","MR9R2LL/A",1999.99,4.7,96
"102",102,"Lenovo - Yoga 920 2-in-1","13.9","Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Bronze","80Y7000WUS",1299.99,4.5,361
"103",103,"MSI -","15.6","Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 512GB Solid State Drive - Matte Black With Gold Diamond Cut","GS65 STEALTH THIN-037",1999.99,4.8,1603
"104",104,"Acer - Spin 15 2-in-1","15.6","Touch-Screen Chromebook - Intel Pentium - 4GB Memory - 64GB Solid State Drive - Sparkly Silver","CP315-1H-P1K8",449,4.4,101
"105",105,"HP - 2-in-1","12.3","Touch-Screen Chromebook - Intel Core M - 4GB Memory - 32GB eMMC Flash Memory - HP Matte Finish In Ceramic White And Oxford Blue","X2 12-F014DX",539,4.6,78
"106",106,"Samsung -","11.6","Chromebook - Intel Celeron - 4GB Memory - 32GB eMMC Flash Memory - Night Charcoal","XE501C13-K02US",259,4.5,139
"107",107,"Microsoft - Surface Book 2 2-in-1","13.5","Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver","HMU-00001",1149,4.8,136
"108",108,"ASUS - 2-in-1","15.6","Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 2TB Hard Drive - Sandblasted matte black aluminum","Q525UA-BI7T9",1029.99,4.3,139
"109",109,"Lenovo - Yoga 730 2-in-1","15.6","4K Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1050 - 512GB SSD - Platinum","81CU000CUS",1399.99,4.1,38
"110",110,"Samsung - Pro 2-in-1","12.3","Touch-Screen Chromebook - Intel Core m3 - 4GB Memory - 32GB eMMC Flash Memory - Metallic Black","XE510C25-K01US",599,4.5,24
"111",111,"Apple - MacBook Pro -","15","Display with Touch Bar - Intel Core i7 - 16GB Memory - AMD Radeon Pro 555X - 256GB SSD (Latest Model) - Silver","MR962LL/A",2399.99,4.7,235
"112",112,"Apple - MacBook Air®  -","13.3","Display - Intel Core i7 - 8GB Memory - 512GB Solid State Drive (Latest Model) - Silver","Z0UU1LL/A",1549.99,4.8,509
"113",113,"Apple - Macbook® -","12","Display - Intel Core M3 - 8GB Memory - 256GB Flash Storage (Latest Model) - Gold","MNYK2LL/A",1299.99,4.8,646
"114",114,"Microsoft - Surface Book 2 -","15","Touch-Screen PixelSense™ Display - Intel Core i7 / 16GB / 256GB dGPU - Silver","HNR-00001",2499,4.7,151
"115",115,"ASUS - Flip C302CA","12.5","Touch-Screen Chromebook - Intel Core m3 - 4GB Memory - 32GB eMMC Flash Memory - Silver Metal, Silver Plastic","C302CA-GU001",529,4.6,75
"116",116,"Lenovo - ThinkPad L380 Yoga 2-in-1","13.3","Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Black","20M7S03400",999.99,4.6,18
"117",117,"Lenovo - Yoga 720","12.5","Touch-Screen Laptop - Intel Core i3 - 4GB Memory - 128GB Solid State Drive - Platinum","81B5001HUS",539.99,4.2,252
"118",118,"ASUS - 2-in-1","15.6","4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 1050 - 2TB HDD + 256GB SSD - Sandblasted matte black aluminum","Q535UD-BI7T11",1499.99,4.4,156
"119",119,"Samsung - Notebook 9 Pro -","15","Touch-Screen Laptop – Intel Core i7 – 16GB Memory – AMD Radeon 540 – 256GB Solid State Drive - Titan silver","NP-940X5N-X01US",1349.99,4.5,131
"120",120,"Microsoft - Surface Pro –","12.3","Touch-Screen – Intel Core i7 – 8GB Memory - 256GB Solid State Drive (Fifth Generation) - Silver","FJZ-00001",1399,4.7,236
